date,AQI
1401/01/01,66
1401/01/02,69
1401/01/03,63
1401/01/04,76
1401/01/05,69
1401/01/06,43
1401/01/07,46
1401/01/08,50
1401/01/09,60
1401/01/10,71
1401/01/11,78
1401/01/12,53
1401/01/13,74
1401/01/14,83
1401/01/15,67
1401/01/16,74
1401/01/17,94
1401/01/18,64
1401/01/19,150
1401/01/20,174
1401/01/21,150
1401/01/22,104
1401/01/23,79
1401/01/24,96
1401/01/25,74
1401/01/26,78
1401/01/27,58
1401/01/28,81
1401/01/29,62
1401/01/30,62
1401/02/01,103
1401/02/02,95
1401/02/03,83
1401/02/04,70
1401/02/05,68
1401/02/06,126
1401/02/07,88
1401/02/08,123
1401/02/09,66
1401/02/10,77
1401/02/11,90
1401/02/12,76
1401/02/13,93
1401/02/14,63
1401/02/15,71
1401/02/16,78
1401/02/17,98
1401/02/18,156
1401/02/19,102
1401/02/20,69
1401/02/21,64
1401/02/22,93
1401/02/23,83
1401/02/24,54
1401/02/25,62
1401/02/26,103
1401/02/27,174
1401/02/28,157
1401/02/29,86
1401/02/30,80
1401/03/01,92
1401/03/02,102
1401/03/03,95
1401/03/04,457
1401/03/05,126
1401/03/06,69
1401/03/07,101
1401/03/08,75
1401/03/09,85
1401/03/10,98
1401/03/11,84
1401/03/12,86
1401/03/13,88
1401/03/14,122
1401/03/15,150
1401/03/16,85
1401/03/17,57
1401/03/18,81
1401/03/19,89
1401/03/20,66
1401/03/21,76
1401/03/22,85
1401/03/23,95
1401/03/24,78
1401/03/25,71
1401/03/26,65
1401/03/27,80
1401/03/28,100
1401/03/29,106
1401/03/30,107
1401/04/01,91
1401/04/02,81
1401/04/03,95
1401/04/04,91
1401/04/05,87
1401/04/06,113
1401/04/07,102
1401/04/08,88
1401/04/09,104
1401/04/10,160
1401/04/11,102
1401/04/12,110
1401/04/13,192
1401/04/14,104
1401/04/15,96
1401/04/16,80
1401/04/17,82
1401/04/18,107
1401/04/19,91
1401/04/20,110
1401/04/21,102
1401/04/22,85
1401/04/23,100
1401/04/24,139
1401/04/25,159
1401/04/26,140
1401/04/27,112
1401/04/28,121
1401/04/29,113
1401/04/30,99
1401/05/01,91
1401/05/02,102
1401/05/03,134
1401/05/04,100
1401/05/05,123
1401/05/06,127
1401/05/07,83
1401/05/08,67
1401/05/09,70
1401/05/10,72
1401/05/11,71
1401/05/12,169
1401/05/13,106
1401/05/14,87
1401/05/15,100
1401/05/16,76
1401/05/17,122
1401/05/18,129
1401/05/19,83
1401/05/20,74
1401/05/21,121
1401/05/22,86
1401/05/23,119
1401/05/24,101
1401/05/25,126
1401/05/26,158
1401/05/27,99
1401/05/28,101
1401/05/29,127
1401/05/30,95
1401/06/01,100
1401/06/02,86
1401/06/03,77
1401/06/04,75
1401/06/05,84
1401/06/06,84
1401/06/07,99
1401/06/08,86
1401/06/09,90
1401/06/10,97
1401/06/11,139
1401/06/12,93
1401/06/13,96
1401/06/14,90
1401/06/15,107
1401/06/16,93
1401/06/17,81
1401/06/18,74
1401/06/19,100
1401/06/20,77
1401/06/21,71
1401/06/22,70
1401/06/23,94
1401/06/24,98
1401/06/25,77
1401/06/26,71
1401/06/27,92
1401/06/28,98
1401/06/29,93
1401/06/30,96
